,UniqueTowID,Survey,TowNum,Region,Stratum,Grid_ID,Common_name,Scientific_name,NumberCaught,catch_sum,Weight,weight_sum,Catch_Weight_Type,Catch_Weight_Unit,Subsample_Weight,Male_weights,female_weights,station_code,Start_Date,End_Date,start_lat,start_lon,end_lat,end_lon,start_depth,end_depth,avg_depth,Tow_Time,Tow_LengthNM,Catch_seq,Tow_Time_Exp,Std_dur,EXP_Catch,EXP_Weight,Year,Water_Temp_DegC,Salinity_psu
670,945897,SP06,2,1,1,431,lobster american,Homarus americanus,32,32,9.92,9.92,WH,KG,0,6.16,3.76,R,5/1/2006 4:00:00,5/1/2006 4:00:00,42.97378,-70.66443,42.96883,-70.68117,16.3,18.5,17.4,19,0.794,3318859,1.052631579,20,33.68421053,10.44210526,2006,4.8,32.19
671,945898,SP06,3,1,2,392,lobster american,Homarus americanus,24,24,7.22,7.22,WH,KG,0,3.72,3.5,R,5/1/2006 4:00:00,5/1/2006 4:00:00,43.03613,-70.5587,43.02208,-70.56133,33.1,32.1,32.6,20,0.851,3318852,1,20,24,7.22,2006,4.6,32.25
672,945899,SP06,4,1,1,400,lobster american,Homarus americanus,3,3,0.98,0.98,WH,KG,0,0.26,0.72,R,5/1/2006 4:00:00,5/1/2006 4:00:00,43.00325,-70.69762,43.0085,-70.71033,14.1,12.2,13.15,16,0.641,3318942,1.25,20,3.75,1.225,2006,6.8,31.53
673,945900,SP06,5,1,2,530,lobster american,Homarus americanus,21,21,5.92,5.92,WH,KG,0,3.98,1.94,R,5/2/2006 4:00:00,5/2/2006 4:00:00,42.87997,-70.69537,42.86912,-70.7076,28.2,23.2,25.7,20,0.846,3318843,1,20,21,5.92,2006,5.2,32.01
674,945901,SP06,6,1,2,494,lobster american,Homarus americanus,33,33,7.9,7.9,WH,KG,0,3.9,4,R,5/3/2006 4:00:00,5/3/2006 4:00:00,42.90967,-70.65717,42.897,-70.66217,31,33,32,19,0.791,3318861,1.052631579,20,34.73684211,8.315789474,2006,5.9,31.87
675,945902,SP06,7,1,3,535,lobster american,Homarus americanus,4,4,8.06,8.06,WH,KG,0,6.84,1.22,R,5/3/2006 4:00:00,5/3/2006 4:00:00,42.88162,-70.60247,42.8674,-70.59553,44,46.5,45.25,20,0.906,3318956,1,20,4,8.06,2006,4.3,32.38
676,945903,SP06,8,1,3,484,lobster american,Homarus americanus,4,4,2.62,2.62,WH,KG,0,#N/A,2.62,R,5/3/2006 4:00:00,5/3/2006 4:00:00,42.92545,-70.50073,42.93328,-70.48647,54.5,55.4,54.95,20,0.783,3318953,1,20,4,2.62,2006,4.5,32.62
677,945904,SP06,9,1,4,729,lobster american,Homarus americanus,2,2,2.84,2.84,WH,KG,0,#N/A,2.84,NR,5/3/2006 4:00:00,5/3/2006 4:00:00,42.90242,-70.46793,42.88968,-70.45845,59.7,63.7,61.7,20,0.871,3318941,1,20,2,2.84,2006,4.6,32.69
678,945905,SP06,10,1,2,277,lobster american,Homarus americanus,22,22,5,5,WH,KG,0,2.12,2.88,R,5/4/2006 4:00:00,5/4/2006 4:00:00,43.17962,-70.43505,43.16562,-70.4383,37.3,35.7,36.5,20,0.852,3318846,1,20,22,5,2006,4.4,32.29
679,945907,SP06,12,1,4,666,lobster american,Homarus americanus,3,3,1.14,1.14,WH,KG,0,1.14,#N/A,R,5/4/2006 4:00:00,5/4/2006 4:00:00,43.13652,-70.27562,43.12418,-70.26492,66.6,72.5,69.55,20,0.876,3318943,1,20,3,1.14,2006,4.9,32
680,945908,SP06,13,1,3,225,lobster american,Homarus americanus,61,61,12.14,12.14,WH,KG,0,7.34,4.8,R,5/4/2006 4:00:00,5/4/2006 4:00:00,43.25018,-70.35497,43.26662,-70.34442,45.1,42.3,43.7,21,1.09,3318873,0.952380952,20,58.0952381,11.56190476,2006,4.7,32.4
681,945909,SP06,14,1,1,185,lobster american,Homarus americanus,126,126,28.6,28.6,WH,KG,0,15.02,13.58,R,5/4/2006 4:00:00,5/4/2006 4:00:00,43.28807,-70.53223,43.27397,-70.53173,16,19.5,17.75,20,0.846,3318889,1,20,126,28.6,2006,6.6,31.22
682,945910,SP06,15,1,2,162,lobster american,Homarus americanus,10,10,3.14,3.14,WH,KG,0,1.88,1.26,R,5/4/2006 4:00:00,5/4/2006 4:00:00,43.32077,-70.33495,43.31107,-70.34422,37.5,34.8,36.15,16,0.71,3318834,1.25,20,12.5,3.925,2006,5.8,32.27
683,945911,SP06,16,1,3,151,lobster american,Homarus americanus,22,22,8.41,8.41,WH,KG,0,5.04,3.37,R,5/5/2006 4:00:00,5/5/2006 4:00:00,43.33272,-70.21447,43.32167,-70.22583,52.8,54.3,53.55,20,0.829,3318848,1,20,22,8.41,2006,4.7,32.42
684,945912,SP06,17,1,3,110,lobster american,Homarus americanus,23,23,7.49,7.49,WH,KG,0,3.45,4.04,R,5/5/2006 4:00:00,5/5/2006 4:00:00,43.38865,-70.20307,43.37467,-70.20533,52.3,54.6,53.45,20,0.844,3318850,1,20,23,7.49,2006,4.8,32.43
685,945914,SP06,19,1,4,581,lobster american,Homarus americanus,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,R,5/5/2006 4:00:00,5/5/2006 4:00:00,43.38925,-70.0884,43.3756,-70.08897,74.7,79.5,77.1,20,0.85,#N/A,1,20,0,0,2006,4.6,32.57
686,945915,SP06,20,1,4,568,lobster american,Homarus americanus,4,4,1.54,1.54,WH,KG,0,1.08,0.46,R,5/5/2006 4:00:00,5/5/2006 4:00:00,43.43263,-70.09203,43.44685,-70.08977,70.3,64.8,67.55,20,0.856,3318951,1,20,4,1.54,2006,5,32.37
687,945916,SP06,21,1,3,71,lobster american,Homarus americanus,57,57,12.47,12.47,WH,KG,0,7.09,5.38,R,5/5/2006 4:00:00,5/5/2006 4:00:00,43.42698,-70.22423,43.43433,-70.2085,48.3,48.6,48.45,20,0.817,3318868,1,20,57,12.47,2006,5.9,32.31
688,945918,SP06,23,1,1,1,lobster american,Homarus americanus,139,139,25.4,25.4,WH,KG,0,17.57,7.83,R,5/6/2006 4:00:00,5/6/2006 4:00:00,43.54647,-70.28537,43.5375,-70.29733,8.7,7.5,8.1,19,0.751,3318890,1.052631579,20,146.3157895,26.73684211,2006,6.1,31.6
689,945919,SP06,24,1,1,6,lobster american,Homarus americanus,315,315,58.74,58.74,WH,KG,0,32.4,26.34,R,5/6/2006 4:00:00,5/6/2006 4:00:00,43.52563,-70.235,43.51817,-70.25067,19.5,19.4,19.45,20,0.816,3318039,1,20,315,58.74,2006,5.7,32.07
690,945920,SP06,25,1,2,26,lobster american,Homarus americanus,176,176,45.25,45.25,WH,KG,0,25.47,19.78,R,5/6/2006 4:00:00,5/6/2006 4:00:00,43.49902,-70.21693,43.48733,-70.22933,27.7,24.8,26.25,20,0.886,3318893,1,20,176,45.25,2006,5.6,32.09
691,945921,SP06,26,2,1,211,lobster american,Homarus americanus,61,61,8.16,8.16,WH,KG,0,4.8,3.36,R,5/8/2006 4:00:00,5/8/2006 4:00:00,43.71273,-70.1747,43.72535,-70.16793,8.7,7.2,7.95,20,0.812,3318872,1,20,61,8.16,2006,6.8,31.26
692,945922,SP06,27,2,1,358,lobster american,Homarus americanus,53,53,13.32,13.32,WH,KG,0,6.14,7.18,R,5/8/2006 4:00:00,5/8/2006 4:00:00,43.63552,-70.17192,43.64883,-70.16583,12.5,14.6,13.55,20,0.842,3318865,1,20,53,13.32,2006,6.1,31.87
693,945923,SP06,28,2,1,325,lobster american,Homarus americanus,57,57,13.02,13.02,WH,KG,0,8.3,4.72,R,5/8/2006 4:00:00,5/8/2006 4:00:00,43.6756,-70.11128,43.664,-70.122,12.7,16.1,14.4,20,0.839,3318869,1,20,57,13.02,2006,6,31.93
694,945924,SP06,29,2,2,395,lobster american,Homarus americanus,81,81,27.8,27.8,WH,KG,0,9,18.8,R,5/8/2006 4:00:00,5/8/2006 4:00:00,43.63488,-70.0579,43.62197,-70.06357,34.4,31.3,32.85,20,0.813,3318878,1,20,81,27.8,2006,6,31.81
695,945925,SP06,30,2,3,460,lobster american,Homarus americanus,30,30,7.24,7.24,WH,KG,0,3.7,3.54,R,5/8/2006 4:00:00,5/8/2006 4:00:00,43.60245,-69.92462,43.59233,-69.9375,45,47.8,46.4,20,0.826,3318855,1,20,30,7.24,2006,5.1,32.37
696,945927,SP06,32,2,4,663,lobster american,Homarus americanus,1,1,0.48,0.48,WH,KG,0,#N/A,0.48,R,5/9/2006 4:00:00,5/9/2006 4:00:00,43.5347,-69.76625,43.54735,-69.76447,67.5,63.7,65.6,20,0.763,3318933,1,20,1,0.48,2006,5,32.44
697,945929,SP06,33,2,4,748,lobster american,Homarus americanus,3,3,4.06,4.06,WH,KG,0,#N/A,4.06,R,5/9/2006 4:00:00,5/9/2006 4:00:00,43.46618,-69.61845,43.47828,-69.62793,82.5,74.9,78.7,20,0.835,3318948,1,20,3,4.06,2006,5.7,33.06
698,945930,SP06,34,2,2,161,lobster american,Homarus americanus,193,193,35.24,35.24,WH,KG,0,18,17.24,R,5/10/2006 4:00:00,5/10/2006 4:00:00,43.76103,-69.6954,43.74733,-69.69617,31.1,31.8,33.1,20,0.823,3318034,1,20,193,35.24,2006,5.7,32.19
699,945931,SP06,35,2,2,106,lobster american,Homarus americanus,227,227,36.3,36.3,WH,KG,0,20,16.3,R,5/10/2006 4:00:00,5/10/2006 4:00:00,43.79598,-69.69837,43.78183,-69.699,28.3,27.5,27.9,20,0.849,3318036,1,20,227,36.3,2006,5.7,32.2
700,945932,SP06,36,2,1,190,lobster american,Homarus americanus,121,121,32.91,32.91,WH,KG,0,17.65,15.26,R,5/10/2006 4:00:00,5/10/2006 4:00:00,43.75143,-69.73443,43.738,-69.73733,10.7,12,11.35,20,0.815,3318887,1,20,121,32.91,2006,7.6,31.39
701,945934,SP06,38,2,3,307,lobster american,Homarus americanus,119,119,25.24,25.24,WH,KG,0,14.72,10.52,R,5/10/2006 4:00:00,5/10/2006 4:00:00,43.69443,-69.68288,43.68067,-69.68517,39.1,41.3,40.2,20,0.831,3318886,1,20,119,25.24,2006,5.9,32.16
702,945935,SP06,39,2,3,269,lobster american,Homarus americanus,55,55,12.04,12.04,WH,KG,0,7.3,4.74,NR,5/10/2006 4:00:00,5/10/2006 4:00:00,43.68763,-69.65713,43.701,-69.65417,46.1,42.4,44.25,20,0.812,3318866,1,20,55,12.04,2006,5.7,32.22
703,945936,SP06,40,2,3,200,lobster american,Homarus americanus,13,13,3.59,3.59,WH,KG,0,1.36,2.23,R,5/11/2006 4:00:00,5/11/2006 4:00:00,43.74053,-69.4995,43.72683,-69.501,59,59.4,59.2,20,0.824,3318837,1,20,13,3.59,2006,5.8,32.18
704,945938,SP06,42,2,4,597,lobster american,Homarus americanus,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,NR,5/11/2006 4:00:00,5/11/2006 4:00:00,43.64253,-69.44153,43.6305,-69.4315,76.7,78.6,77.65,21,0.843,#N/A,0.952380952,20,0,0,2006,5.1,32.61
705,945939,SP06,43,2,3,119,lobster american,Homarus americanus,76,76,18.3,18.3,WH,KG,0,9.2,9.1,NR,5/11/2006 4:00:00,5/11/2006 4:00:00,43.78675,-69.38422,43.773,-69.38733,47.5,45.8,46.65,20,0.836,3318876,1,20,76,18.3,2006,6.4,30.96
706,945940,SP06,44,2,1,68,lobster american,Homarus americanus,362,362,74.18,74.18,WH,KG,0,40.22,33.96,R,5/12/2006 4:00:00,5/12/2006 4:00:00,43.82962,-69.57582,43.84367,-69.5725,15.2,13.8,14.5,20,0.855,3318040,1,20,362,74.18,2006,7.9,31.36
707,945941,SP06,45,2,1,6,lobster american,Homarus americanus,126,126,15.5,15.5,WH,KG,0,9.22,6.28,R,5/12/2006 4:00:00,5/12/2006 4:00:00,43.93333,-69.44883,43.94617,-69.443,7,7.7,7.35,20,0.811,3318888,1,20,126,15.5,2006,8.2,31.31
