year,stationID,ID,date,towtime,type,totalnum,juvnum,abundance,Latitude,Longitude,Temperature,Salinity,Depth,Distance_Offshore,Sediment,Sediment_Type,Distance_Sediment_Boundary
FL07,41,FL0741,10/15/07,20,R,486,291,291,43.8649,-69.08243,9.9,32.88,-60.73017502,0.037146381,sd/st/cl,7,0.037146515
FL08,17,FL0817,10/4/08,20,NA,185,55,55,43.5023,-70.20673,9.1,32.61,-62.13280106,0.042550292,sd,3,0.019093503
FL03,28,FL0328,10/23/03,20,NA,341,157,157,43.7155,-69.69233,9.7,32.81,-65.43713379,0.036618164,sd/st/cl,7,0.034627461
FL08,24,FL0824,10/7/08,20,R,2,0,0,43.54888,-69.90073,8.7,32.5,-89.35571289,0.158616876,sd-st/cl,6,0.053368722
FL10,63,FL1063,10/26/10,20,R,18,1,1,44.38855,-68.52867,12,32.45,-21.40248299,0.010054278,sd-st/cl,6,0.010054269
FL04,42,FL0442,10/26/04,20,R,430,144,144,43.85075,-69.10968,9.5,32.32,-60.68296432,0.022963584,sd/st/cl,7,0.022963526
FL01,23,FL0123,10/2/01,22,F,36,11,10,43.6133,-69.8571,NA,NA,-77.06190491,0.089558962,sd-st/cl,6,0.011029563
FL10,69,FL1069,10/29/10,20,NA,237,127,127,44.44592,-68.16915,11.1,32.85,-35.79455948,0.017655112,sd-st/cl,6,0.017655101
FL10,2,FL102,10/5/10,20,R,106,40,40,42.86988,-70.74083,14.3,32.08,-35.17120361,0.071798609,gr-sd,2,0.036060815
FL09,6,FL096,10/6/09,20,R,9,0,0,42.98918,-70.49757,7.5,32.82,-88.21864319,0.100397199,sd-cl/st,5,0.003745011
FL12,89,FL1289,10/24/12,20,F,12,0,0,44.29382,-67.51047,11.5,34,-103.7582474,0.170700149,sd/st/cl,7,0.026775504
FL02,3,FL023,10/14/02,13,NA,11,4,6.153846154,42.94283,-70.68137,11.3,32.54,-42.13973618,0.059902027,gr,1,0.024747666
FL12,11,FL1211,9/26/12,20,R,1,0,0,43.00573,-70.34373,7.2,33.3,-128.0963135,0.174606284,sd-st/cl,6,0.027010042
FL09,37,FL0937,10/15/09,13,F,1,0,0,43.69507,-69.51135,7.7,33.12,-109.3680038,0.090660956,sd/st/cl,7,0.090660809
FL09,47,FL0947,10/21/09,16,R,166,47,58.75,44.15128,-69.01705,10.8,32.48,-52.97174072,0.038720611,sd-st/cl,6,0.03872066
FL03,29,FL0329,10/24/03,20,F,2,1,1,43.681,-69.514,7.6,33.17,-113.8639832,0.098177515,sd/st/cl,7,0.098177381
FL09,91,FL0991,11/5/09,20,F,211,75,75,44.58625,-67.30272,10.1,32.54,-50.94439697,0.010607544,sd-cl/st,5,0.001036282
FL02,70,FL0270,11/14/02,20,RA,15,0,0,44.2972,-67.60413,10,33.32,-88.17159271,0.139742596,sd-cl/st,5,0.058350841
FL03,71,FL0371,11/17/03,20,F,26,2,2,44.71033,-66.95533,9.4,32.93,-93.50200653,0.088658944,sd-cl/st,5,0.010487362
FL00,55,FL0055,11/28/00,20,NA,70,13,13,44.2889,-68.1292,8.6,32.68,-63.18126678,0.059341548,sd-cl/st,5,0.007825356
FL09,51,FL0951,10/22/09,20,NA,15,0,0,43.7813,-68.637,10.4,33.14,-115.0399933,0.143983783,sd/st/cl,7,0.015914844
