"","X","UniqueTowID","Survey","TowNum","Region","Stratum","Grid_ID","Common_name","Scientific_name","NumberCaught","catch_sum","Weight","weight_sum","Catch_Weight_Type","Catch_Weight_Unit","Subsample_Weight","Male_weights","female_weights","station_code","Start_Date","End_Date","start_lat","start_lon","end_lat","end_lon","start_depth","end_depth","avg_depth","Tow_Time","Tow_LengthNM","Catch_seq","Tow_Time_Exp","Std_dur","EXP_Catch","EXP_Weight","Year","Water_Temp_DegC","Salinity_psu"
"1659",2328,3592550,"SP15",76,4,3,492,"lobster american","Homarus americanus",378,380,98.81,100.14,"WH","KG","#N/A","50.6","48.21","R","5/25/2015 4:00:00","5/25/2015 4:00:00",44.01643,-68.34947,44.00942,-68.3648,47.3,40.8,"#N/A",20,0.826,"6929563",1,20,378,98.81,2015,4.7,32.15
"1699",2368,3592577,"SP15",103,5,1,264,"lobster american","Homarus americanus",283,284,63.75,64.43,"WH","KG","#N/A","36.2","27.55","R","6/1/2015 4:00:00","6/1/2015 4:00:00",44.46445,-67.64192,44.45125,-67.64418,16.8,19.1,"#N/A",20,0.81,"6974810",1,20,283,63.75,2015,5.7,31.78
"1731",2400,3592597,"SP15",123,5,2,195,"lobster american","Homarus americanus",167,168,40.01,41.04,"WH","KG","#N/A","22.01","18","R","6/5/2015 4:00:00","6/5/2015 4:00:00",44.52617,-67.44842,44.53543,-67.4355,27.1,28.4,"#N/A",20,0.7864,"6975264",1,20,167,40.01,2015,5.3,31.76
"1752",2421,3677940,"FL15",18,1,1,8,"lobster american","Homarus americanus",1097,1099,215.12,215.95,"WH","KG","#N/A","110.59","104.53","R","10/2/2015 4:00:00","10/2/2015 4:00:00",43.53237,-70.26228,43.5285,-70.27903,13.5,13,"#N/A",20,0.8045,"6998686",1,20,1097,215.12,2015,12,32.17
"1767",2436,3677952,"FL15",30,2,1,266,"lobster american","Homarus americanus",756,769,165.23,171.22,"WH","KG","#N/A","83.33","81.9","R","10/8/2015 4:00:00","10/8/2015 4:00:00",43.71432,-69.73897,43.72428,-69.73968,17.5,14.3,"#N/A",15,0.6084,"7005651",1.333333333,20,1008,220.3066667,2015,11.9,32.33
"1810",2479,3677986,"FL15",64,4,3,247,"lobster american","Homarus americanus",483,485,134.25,136.15,"WH","KG","#N/A","60.66","73.59","R","10/22/2015 4:00:00","10/22/2015 4:00:00",44.17253,-68.00598,44.18517,-68.00675,48.7,44.2,"#N/A",20,0.7953,"7061151",1,20,483,134.25,2015,11.5,33.27
"1813",2482,3677988,"FL15",66,4,3,137,"lobster american","Homarus americanus",1483,1485,314.24,316.12,"WH","KG","78.48","157.05","157.19","R","10/23/2015 4:00:00","10/23/2015 4:00:00",44.27085,-68.13278,44.25795,-68.1334,35.5,36.1,"#N/A",20,0.7634,"7061191",1,20,1483,314.24,2015,11.5,33.1
"1819",2488,3677991,"FL15",69,4,2,59,"lobster american","Homarus americanus",1446,1449,237.67,239.19,"WH","KG","69.96","141.72","115.95","R","10/23/2015 4:00:00","10/23/2015 4:00:00",44.33487,-68.11618,44.34843,-68.11537,30.4,31.6,"#N/A",20,0.8188,"7061252",1,20,1446,237.67,2015,11.5,33.03
"1898",2567,3744870,"SP16",44,2,3,125,"lobster american","Homarus americanus",413,416,59.54,62.16,"WH","KG","#N/A","29.82","29.72","NR","5/12/2016 4:00:00","5/12/2016 4:00:00",43.81262,-69.35458,43.80323,-69.36443,38.1,41.6,"#N/A",17,0.71,"7102190",1.176470588,20,485.8823529,70.04705882,2016,5.5,32.03
"1938",2607,3744896,"SP16",70,3,3,341,"lobster american","Homarus americanus",302,303,62.46,64.04,"WH","KG","#N/A","35.61","26.85","R","5/20/2016 4:00:00","5/20/2016 4:00:00",43.92675,-68.64988,43.91305,-68.65523,51,52,"#N/A",20,0.86,"7108421",1,20,302,62.46,2016,6.1,32.41
"1952",2621,3744908,"SP16",82,4,1,173,"lobster american","Homarus americanus",746,747,155.8,156.18,"WH","KG","#N/A","86.92","68.88","R","5/24/2016 4:00:00","5/24/2016 4:00:00",44.21712,-68.32272,44.2106,-68.30957,11.4,15.4,"#N/A",16,0.71,"7136692",1.25,20,932.5,194.75,2016,7.9,31.93
"1987",2656,3744930,"SP16",104,5,2,456,"lobster american","Homarus americanus",330,332,69.57,71.11,"WH","KG","#N/A","36.57","33","R","5/31/2016 4:00:00","5/31/2016 4:00:00",44.3679,-67.74105,44.36103,-67.75797,31.5,32.5,"#N/A",20,0.86,"7138553",1,20,330,69.57,2016,7.3,31.91
"2030",2699,3804034,"FL16",16,1,2,41,"lobster american","Homarus americanus",324,325,87.95,89.89,"WH","KG","#N/A","52.18","35.77","NR","9/30/2016 4:00:00","9/30/2016 4:00:00",43.4813,-70.19845,43.49338,-70.19185,36.1,34.5,"#N/A",20,0.8557,"7180952",1,20,324,87.95,2016,10.3,32.74
"2035",2704,3804038,"FL16",20,1,1,8,"lobster american","Homarus americanus",1305,1309,233.02,234.89,"WH","KG","58.33","130.82","102.2","NR","9/30/2016 4:00:00","9/30/2016 4:00:00",43.52737,-70.27683,43.53282,-70.25928,14.1,13.1,"#N/A",20,0.8813,"7191102",1,20,1305,233.02,2016,14.4,32.21
"2102",2771,3808508,"FL16",70,4,2,158,"lobster american","Homarus americanus",798,799,125.66,126.27,"WH","KG","41.82","51.18","74.48","NR","10/20/2016 4:00:00","10/20/2016 4:00:00",44.22535,-68.1329,44.23928,-68.13373,35,37.1,"#N/A",20,0.8444,"7220251",1,20,798,125.66,2016,12.4,32.82
"2104",2773,3808509,"FL16",71,4,2,102,"lobster american","Homarus americanus",727,728,117.15,118.22,"WH","KG","#N/A","59.32","57.83","NR","10/21/2016 4:00:00","10/21/2016 4:00:00",44.28428,-68.13077,44.29788,-68.12953,34.8,34.2,"#N/A",20,0.8642,"7220269",1,20,727,117.15,2016,12.5,32.99
